,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
34,AAPL250516C00217500,2025-05-12 18:27:15+00:00,217.5,0.64,0.64,0.65,0.5,333.33337,20157,5805,0.2841868457031249,False,REGULAR,USD
35,AAPL250516C00220000,2025-05-12 18:26:47+00:00,220.0,0.34,0.34,0.35,0.23,229.99998,31392,29537,0.2890696093749999,False,REGULAR,USD
36,AAPL250516C00222500,2025-05-12 18:26:52+00:00,222.5,0.18,0.18,0.19,0.09,99.99999,9976,6746,0.29688203124999996,False,REGULAR,USD
37,AAPL250516C00225000,2025-05-12 18:27:25+00:00,225.0,0.1,0.1,0.11,0.030000001,37.5,21777,19758,0.309577216796875,False,REGULAR,USD
38,AAPL250516C00227500,2025-05-12 18:21:04+00:00,227.5,0.07,0.06,0.07,0.010000002,16.66667,4703,4393,0.32617861328125,False,REGULAR,USD
39,AAPL250516C00230000,2025-05-12 18:21:37+00:00,230.0,0.04,0.04,0.05,0.0,0.0,7735,23017,0.34766277343749996,False,REGULAR,USD
40,AAPL250516C00232500,2025-05-12 16:30:03+00:00,232.5,0.04,0.03,0.04,0.0,0.0,832,1334,0.3711000390625,False,REGULAR,USD
41,AAPL250516C00235000,2025-05-12 18:21:53+00:00,235.0,0.03,0.02,0.03,0.01,50.0,4794,14180,0.39258419921875,False,REGULAR,USD
42,AAPL250516C00240000,2025-05-12 18:23:25+00:00,240.0,0.02,0.01,0.02,0.01,100.0,2449,14932,0.437505625,False,REGULAR,USD
43,AAPL250516C00245000,2025-05-12 18:22:56+00:00,245.0,0.02,0.01,0.02,0.01,100.0,1309,19651,0.49609878906250005,False,REGULAR,USD
44,AAPL250516C00250000,2025-05-12 18:21:53+00:00,250.0,0.01,0.0,0.01,-0.01,-50.0,3574,20176,0.51562984375,False,REGULAR,USD
45,AAPL250516C00255000,2025-05-12 18:22:49+00:00,255.0,0.01,0.0,0.01,0.0,0.0,229,16448,0.5312546875,False,REGULAR,USD
46,AAPL250516C00260000,2025-05-12 17:51:59+00:00,260.0,0.01,0.0,0.01,0.0,0.0,350,12725,0.5937540625000001,False,REGULAR,USD
47,AAPL250516C00265000,2025-05-09 19:04:03+00:00,265.0,0.01,0.0,0.01,0.0,0.0,8,9522,0.6250037500000001,False,REGULAR,USD
48,AAPL250516C00270000,2025-05-12 17:27:17+00:00,270.0,0.01,0.0,0.01,0.0,0.0,138,8852,0.6875031250000001,False,REGULAR,USD
49,AAPL250516C00275000,2025-05-12 17:40:21+00:00,275.0,0.01,0.0,0.01,0.0,0.0,12,11053,0.7187528125,False,REGULAR,USD
50,AAPL250516C00280000,2025-05-12 15:40:37+00:00,280.0,0.01,0.0,0.01,0.0,0.0,1,14903,0.7812521875,False,REGULAR,USD
51,AAPL250516C00285000,2025-05-12 17:05:49+00:00,285.0,0.01,0.0,0.01,0.0,0.0,6,2362,0.8125018749999999,False,REGULAR,USD
52,AAPL250516C00290000,2025-05-06 18:25:55+00:00,290.0,0.01,0.0,0.01,0.0,0.0,5,1099,0.85937640625,False,REGULAR,USD
53,AAPL250516C00295000,2025-05-06 14:21:01+00:00,295.0,0.01,0.0,0.01,0.0,0.0,5,1562,0.9062509375,False,REGULAR,USD
54,AAPL250516C00300000,2025-05-09 14:34:02+00:00,300.0,0.01,0.0,0.01,0.0,0.0,3,2823,0.937500625,False,REGULAR,USD
55,AAPL250516C00305000,2025-05-08 16:20:05+00:00,305.0,0.01,0.0,0.01,0.0,0.0,3,754,0.9687503125,False,REGULAR,USD
56,AAPL250516C00310000,2025-05-01 19:59:15+00:00,310.0,0.01,0.0,0.01,0.0,0.0,1,815,1.0312548437500002,False,REGULAR,USD
57,AAPL250516C00315000,2025-05-12 17:15:02+00:00,315.0,0.01,0.0,0.01,0.0,0.0,8,1614,1.0625046875000002,False,REGULAR,USD
58,AAPL250516C00320000,2025-05-12 17:53:47+00:00,320.0,0.01,0.0,0.01,0.0,0.0,9,8177,1.09375453125,False,REGULAR,USD
